Visual Estimation,Actual Measurement,Student
104,90,1
79,63,1
113,71,1
172,145,1
105,79,1
112,82,1
130,94,1
96,85,1
76,59,1
162,140,1
119,116,2
61,56,2
127,133,2
124,116,2
191,176,2
114,118,2
161,164,2
153,161,2
159,168,2
135,131,2
51,69,3
77,79,3
77,93,3
47,56,3
78,89,3
82,92,3
75,72,3
99,112,3
98,123,3
144,162,3
68,65,4
117,140,4
161,167,4
54,63,4
95,93,4
150,175,4
98,109,4
80,91,4
166,178,4
41,55,4
82,72,5
92,84,5
103,89,5
191,178,5
162,147,5
166,156,5
138,149,5
94,91,5
158,159,5
56,58,5
229,179,6
223,173,6
84,77,6
117,86,6
172,131,6
222,173,6
222,169,6
199,149,6
47,63,6
78,77,6
79,78,7
132,122,7
48,51,7
158,159,7
74,65,7
67,53,7
145,161,7
60,55,7
96,95,7
131,128,7
84,139,8
31,64,8
61,111,8
75,127,8
72,113,8
106,165,8
30,57,8
63,91,8
60,111,8
69,118,8
119,114,9
137,136,9
143,142,9
147,146,9
176,165,9
106,102,9
125,113,9
92,85,9
121,118,9
147,154,9
82,76,10
154,136,10
53,68,10
136,112,10
129,119,10
122,109,10
128,110,10
114,96,10
130,124,10
105,94,10
181,155,11
115,97,11
146,127,11
202,170,11
184,151,11
142,107,11
176,155,11
180,153,11
130,119,11
137,106,11
59,56,12
51,63,12
85,90,12
112,121,12
173,163,12
114,116,12
56,68,12
119,129,12
177,178,12
143,156,12
158,138,13
110,127,13
128,122,13
139,135,13
106,90,13
150,128,13
55,51,13
101,94,13
74,76,13
89,90,13
154,151,14
147,143,14
142,149,14
160,165,14
111,108,14
170,159,14
187,166,14
160,159,14
105,100,14
180,167,14
133,112,15
82,75,15
165,146,15
125,119,15
72,52,15
67,61,15
134,138,15
204,177,15
120,100,15
127,104,15
114,93,16
198,156,16
91,77,16
164,139,16
137,105,16
77,60,16
154,118,16
197,159,16
65,50,16
107,96,16
79,131,17
63,102,17
72,103,17
39,66,17
55,80,17
38,54,17
72,129,17
49,80,17
63,71,17
25,52,17
40,62,18
117,165,18
124,160,18
68,109,18
113,160,18
74,90,18
103,132,18
111,145,18
62,92,18
96,114,18
139,168,19
60,78,19
133,145,19
110,135,19
93,110,19
100,119,19
137,169,19
134,160,19
94,108,19
53,57,19
126,170,20
76,94,20
94,126,20
82,118,20
82,108,20
61,88,20
91,121,20
61,82,20
62,83,20
36,62,20
183,178,21
181,179,21
93,84,21
145,157,21
157,159,21
90,94,21
139,149,21
149,133,21
95,103,21
143,147,21
132,109,22
123,107,22
135,123,22
185,156,22
209,178,22
149,124,22
126,112,22
109,109,22
165,129,22
100,77,22
203,176,23
95,86,23
105,91,23
82,68,23
219,176,23
109,86,23
180,161,23
62,58,23
167,151,23
209,171,23
192,178,24
75,77,24
166,146,24
91,76,24
86,64,24
63,51,24
128,125,24
85,71,24
136,120,24
38,50,24
63,56,25
82,70,25
65,66,25
152,144,25
137,125,25
44,52,25
143,137,25
120,106,25
148,137,25
60,60,25
